Ward_code,Borough_code,Borough_name,Ward_name,candidate,party,party_long,number_votes,elected_flag,Number of councillors in ward
E05000049,E09000003,Barnet,East Finchley,"Lynch, Noel T.",GRE,Green Party,640,,3
E05000049,E09000003,Barnet,East Finchley,"Norman, Stephen P. H.",GRE,Green Party,606,,3
E05000049,E09000003,Barnet,East Finchley,"Mellows, David H.",GRE,Green Party,602,,3
E05000049,E09000003,Barnet,East Finchley,"Arram, Joyce M. Ms.",LD,Liberal Democrats,410,,3
E05000049,E09000003,Barnet,East Finchley,"Davis, Malcolm B.",LD,Liberal Democrats,310,,3
E05000049,E09000003,Barnet,East Finchley,"Watkins, Millicent J. Ms.",LD,Liberal Democrats,248,,3
E05000050,E09000003,Barnet,Edgware,"Gordon, Brian C.",CON,Conservative Party,2732,Yes,3
E05000050,E09000003,Barnet,Edgware,"Hart, Helena D. Ms.*",CON,Conservative Party,2369,Yes,3
E05000050,E09000003,Barnet,Edgware,"Scannell, Joan Ms.*",CON,Conservative Party,2182,Yes,3
E05000050,E09000003,Barnet,Edgware,"Johnson, Julie Ms.",LAB,Labour Party,1180,,3
E05000050,E09000003,Barnet,Edgware,"Johnson, Geoffrey",LAB,Labour Party,1155,,3
E05000050,E09000003,Barnet,Edgware,"Hale, Raymond",LAB,Labour Party,1140,,3
E05000050,E09000003,Barnet,Edgware,"Margolis, Catherine A. Ms.",GRE,Green Party,474,,3
E05000050,E09000003,Barnet,Edgware,"Abeles, Aliza M.",LD,Liberal Democrats,446,,3
E05000050,E09000003,Barnet,Edgware,"Abeles, Elias P.",LD,Liberal Democrats,410,,3
E05000050,E09000003,Barnet,Edgware,"Ollier, Alexander T. M.",LD,Liberal Democrats,169,,3
E05000051,E09000003,Barnet,Finchley Church End,"Greenspan, Eva Ms.*",CON,Conservative Party,2571,Yes,3
E05000051,E09000003,Barnet,Finchley Church End,"Old, Graham D.*",CON,Conservative Party,2284,Yes,3
E05000051,E09000003,Barnet,Finchley Church End,"Thomas, Daniel C.*",CON,Conservative Party,2197,Yes,3
E05000051,E09000003,Barnet,Finchley Church End,"Bagley, Janet C. Ms.",LAB,Labour Party,1257,,3
E05000051,E09000003,Barnet,Finchley Church End,"Walsh, Mike",LAB,Labour Party,1201,,3
E05000051,E09000003,Barnet,Finchley Church End,"Mcguirk, Mary P. Ms.",LAB,Labour Party,1192,,3
E05000051,E09000003,Barnet,Finchley Church End,"Kumar, Vedantha",GRE,Green Party,512,,3
E05000051,E09000003,Barnet,Finchley Church End,"Latif, Amir",UKIP,UK Independence Party (UKIP),365,,3
E05000051,E09000003,Barnet,Finchley Church End,"Darrer, Diana D. Ms.",LD,Liberal Democrats,305,,3
E05000051,E09000003,Barnet,Finchley Church End,"Hoyle, Sarah J. Ms.",LD,Liberal Democrats,267,,3
E05000051,E09000003,Barnet,Finchley Church End,"Yarwood, Sheila R. Ms.",LD,Liberal Democrats,222,,3
E05000052,E09000003,Barnet,Garden Suburb,"Marshall, John L.*",CON,Conservative Party,2689,Yes,3
E05000052,E09000003,Barnet,Garden Suburb,"Rozenberg, Gabriel S.",CON,Conservative Party,2560,Yes,3
E05000052,E09000003,Barnet,Garden Suburb,"Seal, Daniel*",CON,Conservative Party,2539,Yes,3
E05000052,E09000003,Barnet,Garden Suburb,"Goldberg, Nick",LAB,Labour Party,1110,,3
